transaction_id,date_id,product_id,customer_id,region_id,salesperson_id,quantity,gross_sales,discount_pct,net_sales,cost,profit
1,677,15,79,1,8,34,1530,,1530.0,1286.4135880455717,243.58641195442829
2,710,1,31,2,12,43,1720,15.0,1462.0,1092.483157208103,369.51684279189703
3,60,14,150,5,10,43,1505,10.0,1354.5,1123.4556477376789,231.04435226232113
4,336,18,110,4,12,31,2945,5.0,2797.75,2273.8623960499344,523.8876039500656
5,132,3,103,1,6,51,2805,10.0,2524.5,2030.225324202403,494.27467579759696
6,166,4,94,1,15,47,5170,0.0,5170.0,4089.9875346462036,1080.0124653537964
7,371,13,48,4,8,55,9900,15.0,8415.0,5413.530449468153,3001.469550531847
8,87,3,86,3,1,9,495,0.0,495.0,431.26172354490575,63.73827645509425
9,687,2,135,1,11,12,480,15.0,408.0,317.5108329900457,90.48916700995431
10,15,17,55,5,8,55,6600,5.0,6270.0,5487.737381097697,782.2626189023031
11,660,10,31,1,7,53,3180,5.0,3021.0,1982.086906255885,1038.913093744115
12,179,18,29,2,4,45,4275,5.0,4061.25,2855.6959068503566,1205.5540931496434
13,365,3,28,4,8,50,2750,10.0,2475.0,1604.3529088531054,870.6470911468946
14,294,9,68,2,12,2,110,5.0,104.5,74.8946615402358,29.605338459764198
15,314,8,84,1,9,58,2900,5.0,2755.0,2419.617064093342,335.3829359066581
16,495,15,146,2,2,27,1215,5.0,1154.25,864.8738534427407,289.3761465572593
17,344,5,139,3,12,6,390,10.0,351.0,290.00490884538056,60.995091154619445
18,582,16,32,3,8,37,3330,10.0,2997.0,2169.466917385479,827.5330826145209
19,729,5,15,4,1,40,2600,0.0,2600.0,2151.3314361454845,448.66856385451547
20,268,13,107,3,15,14,2520,10.0,2268.0,1432.2715680352385,835.7284319647615
21,539,2,1,1,4,55,2200,0.0,2200.0,1522.6833868989486,677.3166131010514
22,502,13,125,5,8,18,3240,15.0,2754.0,2402.400901448072,351.5990985519279
23,291,9,142,4,11,50,2750,5.0,2612.5,1744.0287746802542,868.4712253197458
24,593,3,63,1,10,30,1650,,1650.0,1092.1866512064203,557.8133487935797
25,196,15,124,1,8,35,1575,,1575.0,1369.0233845758382,205.97661542416176
26,517,16,124,1,5,33,2970,5.0,2821.5,2366.160687447437,455.3393125525631
27,617,14,121,3,1,51,1785,10.0,1606.5,1398.1070231930644,208.39297680693562
28,136,18,67,5,15,43,4085,10.0,3676.5,2410.0081625713656,1266.4918374286344
29,235,16,94,5,3,8,720,5.0,684.0,538.1800089921494,145.8199910078506
30,625,1,33,3,5,25,1000,5.0,950.0,743.9636250983784,206.03637490162157
31,259,15,124,4,12,42,1890,5.0,1795.5,1386.5280580851324,408.97194191486756
32,73,7,27,3,2,14,1050,,1050.0,721.8729241842746,328.12707581572545
33,517,14,40,4,5,25,875,10.0,787.5,545.645581380227,241.854418619773
34,513,7,148,1,4,2,150,0.0,150.0,115.49170719555133,34.50829280444867
35,693,17,121,2,1,57,6840,10.0,6156.0,4374.053362680459,1781.946637319541
36,626,18,91,1,5,42,3990,0.0,3990.0,2585.520114696244,1404.479885303756
